bird_id,common_name,sex,scientific_name,family,length_lower,length_upper,body_mass_lower,body_mass_upper,wingspan_lower,wingspan_upper,NF_wing_bar,NF_long_neck,NF_colorful,NF_large_bill,NF_long_tail,NF_plumage,NF_long_legs,other,C_Black,C_White,C_Brown,C_Red,C_Grey,C_Orange_Yellow,C_Green,C_Blue,C_purple
121,Greater Blue Heron,Both,Ardea herodias,Ardeidae,97,137,2.1,2.5,167,201,0,1,0,1,0,0,1,N/A,1,1,0,0,1,1,0,0,0
122,Great Egret,Both,Ardea alba,Ardeidae,94,104,0.99,1.1,131,145,0,1,0,1,0,0,1,Similar to Snowy Egret,0,1,0,0,0,1,0,0,0
123,Snowy Egret,Both,Egretta thula,Ardeidae,56,66,0.36,0.38,99,101,0,1,0,1,0,0,1,Similar to Great Egret,1,1,0,0,0,1,0,0,0
124,Little Blue Heron,Both,Egretta caerulea,Ardeidae,56,74,0.296,0.412,100,105,0,1,0,1,0,0,1,N/A,1,0,0,0,0,0,0,1,0
125,Tricolored Heron,Both,Egretta tricolor,Ardeidae,60,70,0.414,0.416,94,96,0,1,0,1,0,0,1,N/A,1,1,0,1,1,1,0,0,0
126,Reddish Egret,Both,Egretta rufescens,Ardeidae,70,80,0.7,0.85,1000000000,1000000000,0,1,0,1,0,0,1,N/A,1,0,1,1,0,0,0,0,0
127,Reddish Egret (White Morph),Both ,Egretta rufescens,Ardeidae,70,80,0.7,0.85,1000000000,1000000000,0,1,0,1,0,0,1,N/A,0,1,0,1,0,0,0,0,0
128,Cattle Egret,Both,Bubulcus ibis,Ardeidae,46,56,0.27,0.512,88,95,0,1,0,1,0,0,1,N/A,1,1,1,0,0,1,0,0,0
129,Green Heron,Both ,Butorides virescens,Ardeidae,41,46,0.23,0.25,64,68,0,0,0,1,0,0,1,N/A,1,1,1,1,1,1,0,0,0
130,Black-Crowned Night Heron,Both ,Nycticorax nycticorax,Ardeidae,56,66,0.727,1.014,115,118,0,0,0,1,0,0,1,N/A,1,0,0,1,1,1,0,0,0
131,Yellow-Crowned night Heron,Both,Nyctanassa violacea,Ardeidae,55,70,0.65,0.8,1000000000,1000000000,0,1,0,1,0,1,1,N/A,1,1,0,1,1,1,0,0,0
132,American White Ibis,Both,Eudocimus albus,Threskiornithidae,56,68,0.75,1.05,1000000000,1000000000,0,1,0,1,0,0,1,N/A,0,1,0,1,0,0,0,0,0
133,Glossy Ibis,Both,Plegadis falcinellus,Threskiornithidae,48,66,0.5,0.8,1000000000,1000000000,0,1,1,1,0,0,1,Similar to White-Faced ibis,1,0,1,1,0,0,0,0,0
134,White-Faced Ibis,Both,Plegadis chihi,Threskiornithidae,46,56,0.45,0.525,1000000000,1000000000,0,1,0,1,0,0,1,Similar to Glossy Ibis,0,0,1,1,1,0,0,0,0
135,Roseate Spoonbill,Both,Platalea ajaja,Threskiornithidae,71,86,1.2,1.8,0.12,0.13,0,1,0,1,0,0,1,N/A,0,1,0,1,1,0,0,0,0
136,Black Vulture,Both,Coragyps atratus,Cathartidae,60,68,1.6,2.2,137,150,0,0,0,0,0,0,0,N/A,1,1,0,1,0,0,0,0,0
137,Turkey Vulture,Both ,Cathartes aura,Cathartidae,64,81,1.99,2.1,170,178,0,0,0,0,0,0,0,N/A,1,0,0,1,0,0,0,0,0
138,Osprey,Both,Pandion haliaetus,Pandionidae,54,58,1.4,2,150,180,0,0,0,0,0,0,0,N/A,0,1,1,0,0,1,0,0,0
139,Swallow-Tailed Kite,Both,Elanoides forficatus,Accipitridae,50,64,0.37,0.6,121,123,0,0,0,0,0,0,0,N/A,1,1,0,0,0,1,0,0,0
140,Mississippi Kite,Both ,Ictinia mississippiensis,Accipitridae,34,37,0.216,0.339,1000000000,1000000000,0,0,0,0,0,0,0,N/A,1,1,0,1,1,0,0,0,0
141,Bald Eagle,Both,Haliaeetus leucocephalus,Accipitridae,71,96,3,6.3,203,205,0,0,0,0,0,0,0,N/A,0,1,1,0,0,1,0,0,0
142,Northern Harrier,Both,Circus cyaneus,Accipitridae,46,50,0.3,0.75,102,118,0,0,0,0,0,0,0,N/A,0,1,1,0,0,1,0,0,0
143,Sharp-Shinned Hawk,Both,Accipiter striatus,Accipitridae,24,34,0.87,0.218,43,56,0,0,0,0,0,0,0,N/A,0,1,1,0,0,1,0,0,0
144,Cooper's Hawk,Both,Accipiter cooperii,Accipitridae,37,39,0.22,0.41,62,90,0,0,0,0,0,0,0,N/A,0,1,1,1,1,1,0,0,0
145,Northern Goshawk,Both,Accipiter gentilis,Accipitridae,53,64,0.631,1.365,103,117,0,0,0,0,0,0,0,N/A,1,1,1,1,0,1,0,0,0
146,Common Black Hawk,Both,Buteogallus anthracinus,Accipitridae,43,53,0.92,0.94,1000000000,1000000000,0,0,0,0,0,0,0,N/A,1,0,1,0,0,1,0,0,0
147,Harris' Hawk,Both,Parabuteo unicinctus,Accipitridae,46,59,0.515,0.88,103,119,0,0,0,0,0,0,0,N/A,0,1,1,1,0,1,0,0,0
148,Red-Shouldered Hawk,Both,Buteo lineatus,Accipitridae,43,61,0.486,0.774,94,111,0,0,0,0,0,0,0,N/A,1,1,1,0,0,1,0,0,0
149,Broad-Winged Hawk,Both,Buteo platypterus,Accipitridae,34,44,0.265,0.56,81,100,0,0,0,0,0,0,0,N/A,0,1,1,0,0,1,0,0,0
150,Sawinson's Hawk,Both,Buteo swainsoni,Accipitridae,48,56,0.693,1.367,1000000000,1000000000,0,0,0,0,0,0,0,N/A,0,1,1,0,0,1,0,0,0
151,Zone-Tailed Hawk,Both,Buteo albonotatus,Accipitridae,45,56,0.119,0.14,119,140,0,0,0,0,0,0,0,N/A,1,1,0,0,0,0,0,0,0
152,Red-Tailed Hawk,Both,Buteo jamaicensis,Accipitridae,45,65,0.69,1.46,114,133,0,0,0,0,0,0,0,N/A,0,1,1,1,0,1,0,0,0
153,Ferruginous Hawk,Both,Buteo regalis,Accipitridae,56,69,0.997,2.074,133,142,0,0,0,0,0,0,0,N/A,0,1,1,0,0,1,0,0,0
154,Rough-Legged Hawk,Both,Buteo lagopus,Accipitridae,47,52,0.715,1.4,132,138,0,0,0,0,0,0,0,N/A,0,1,1,0,0,0,0,0,0
155,Golden Eagle,Both,Aquila chrysaetos,Accipitridae,70,84,3,6.125,185,220,0,0,0,0,0,0,0,N/A,0,1,1,0,0,1,0,0,0
156,Crested Caracara,Both,Caracara cheriway,Falconidae,49,58,1.05,1.3,119,121,0,0,0,0,0,0,1,N/A,1,1,1,1,0,1,0,0,0
